itemid,description,itemparent
catcars,Catálogos relacionados a la industria automotríz,\0
catcars.marca,Marcas de vehículos,catcars
CC10,Marcas de vehículos,catcars.marca
CC11,Agregar marca de vehículo,catcars.marca
CC12,Editar marca de vehículo,catcars.marca
CC13,Eliminar marca de vehículo,catcars.marca
CC14,Importar marcas de vehículos,catcars.marca
catcars.modelo,Modelos de vehículos,catcars
CC20,Modelos de vehículos,catcars.modelo
CC21,Agregar modelo de vehículo,catcars.modelo
CC22,Editar modelo de vehículo,catcars.modelo
CC23,Eliminar modelo de vehículo,catcars.modelo
CC24,Importar modelos de vehículos,catcars.modelo
catcars.version,Versiones de vehículos,catcars
CC30,Versiones de vehículos,catcars.version
CC31,Agregar versión de vehículo,catcars.version
CC32,Editar versión de vehículo,catcars.version
CC33,Eliminar versión de vehículo,catcars.version
CC34,Importar versiones de vehículos,catcars.version
catcars.compatibilidad,"Compatibilidad de partes ",catcars
CC40,Compatibilidad de partes,catcars.compatibilidad
CC41,Agregar compatibilidad de partes,catcars.compatibilidad
CC42,Editar compatibilidad de partes,catcars.compatibilidad
CC43,Eliminar compatibilidad de partes,catcars.compatibilidad
CC44,Importar compatibilidades de partes,catcars.compatibilidad
